date, pm25, pm10, o3, no2
2024/12/2, 46, 5, , 2
2024/12/3, 10, 7, , 4
2024/12/4, 11, 6, , 2
2024/12/5, 10, 11, , 3
2024/12/6, 35, 11, , 2
2024/12/7, 44, 5, , 1
2024/12/8, 20, 6, , 2
2024/12/9, 15, 15, , 6
2024/12/10, 36, 8, , 4
2024/12/11, 29, 15, , 14
2024/12/12, 35, 8, , 3
2024/12/13, 28, 11, , 2
2024/12/14, 33, 13, , 6
2024/12/15, 32, 29, , 2
2024/12/16, 56, 15, , 4
2024/12/17, 37, 13, , 3
2024/12/18, 43, 18, , 7
2024/12/19, 40, 13, , 4
2024/12/20, 30, 13, , 1
2024/12/21, 39, 17, , 1
2024/12/22, 46, 7, , 5
2024/12/23, 17, 6, , 3
2024/12/24, 20, 8, , 2
2024/12/25, 31, 8, , 1
2024/12/26, 31, 8, , 3
2024/12/27, 33, 7, , 1
2024/12/28, 30, 9, , 1
2024/12/29, 26, , , 
2024/7/1, 19, 7, , 4
2024/7/2, 16, 11, , 3
2024/7/3, 26, 6, , 2
2024/7/4, 16, 9, , 1
2024/7/5, 21, 9, , 1
2024/7/6, 26, 9, , 1
2024/7/7, 21, 7, , 2
2024/7/8, 21, 7, , 2
2024/7/9, 21, 9, , 3
2024/7/10, 28, 8, , 5
2024/7/11, 26, 8, , 4
2024/7/12, 22, 7, , 2
2024/7/13, 21, 7, , 1
2024/7/14, 22, 7, , 1
2024/7/15, 25, 5, , 2
2024/7/16, 15, 7, , 5
2024/7/17, 21, 11, , 4
2024/7/18, 25, 10, , 3
2024/7/19, 28, 7, , 6
2024/7/20, 19, 8, , 1
2024/7/21, 25, 8, , 2
2024/7/22, 24, 8, , 3
2024/7/23, 23, 8, , 3
2024/7/24, 23, 8, , 2
2024/7/25, 23, 9, , 1
2024/7/26, 27, 8, , 2
2024/7/27, 21, 9, , 1
2024/7/28, 23, 9, , 3
2024/7/29, 22, 7, , 6
2024/7/30, 20, 9, , 1
2024/7/31, 27, 13, , 4
2024/8/1, 31, 9, , 6
2024/8/2, 25, 10, , 6
2024/8/3, 31, , , 1
2024/9/4, 102, 60, , 5
2024/9/5, 102, 30, , 5
2024/9/6, 66, 25, , 2
2024/9/7, 53, 28, , 1
2024/9/8, 58, 20, , 2
2024/9/9, 47, 11, , 2
2024/9/10, 25, 10, , 2
2024/9/11, 22, 7, , 1
2024/9/12, 18, 9, , 7
2024/9/13, 16, 7, , 6
2024/9/14, 15, 7, , 9
2024/9/15, 16, 12, , 10
2024/9/16, 20, 13, , 7
2024/9/17, 22, 10, , 5
2024/9/18, 19, 12, , 7
2024/9/19, 25, 22, , 12
2024/9/20, 43, 23, , 8
2024/9/21, 56, 20, , 4
2024/9/22, 55, 23, , 3
2024/9/23, 60, 19, , 2
2024/9/24, 56, 10, , 1
2024/9/25, 28, 6, , 3
2024/9/26, 13, 3, , 4
2024/9/27, 6, 7, , 3
2024/9/28, 20, 7, , 2
2024/9/29, 19, 6, , 1
2024/9/30, 16, 5, , 3
2024/5/8, 36, 11, , 4
2024/5/9, 33, 9, , 3
2024/5/10, 23, 10, , 5
2024/5/11, 21, 10, , 7
2024/5/12, 27, 13, , 7
2024/5/13, 24, 17, , 6
2024/5/14, 22, 15, , 3
2024/5/15, 23, 18, , 1
2024/5/16, 28, 21, , 5
2024/5/17, 37, 23, , 4
2024/5/18, 41, 25, , 5
2024/5/19, 49, 26, , 4
2024/5/20, 44, 11, , 1
2024/5/21, 16, 15, , 1
2024/5/22, 23, 20, , 3
2024/5/23, 40, 15, , 4
2024/5/24, 41, 12, , 3
2024/5/25, 36, 14, , 2
2024/5/26, 43, 11, , 1
2024/5/27, 37, 12, , 3
2024/5/28, 40, 6, , 1
2024/5/29, 15, 8, , 2
2024/5/30, 22, 15, , 5
2024/5/31, 39, 17, , 3
2024/6/1, 49, 16, , 4
2024/6/2, 50, 17, , 3
2024/6/3, 41, 12, , 1
2024/6/4, 32, 8, , 2
2024/6/5, 23, 8, , 2
2024/6/6, 24, 10, , 1
2024/6/7, 28, 9, , 1
2024/6/8, 31, 8, , 1
2024/6/9, 20, 11, , 3
2024/6/10, 29, 11, , 4
2024/6/11, 30, 10, , 3
2024/6/12, 30, 9, , 1
2024/6/13, 24, 8, , 2
2024/6/14, 29, 7, , 1
2024/6/15, 21, 9, , 1
2024/6/16, 22, 7, , 1
2024/6/17, 20, 9, , 3
2024/6/18, 25, 11, , 4
2024/6/19, 26, 16, , 4
2024/6/20, 33, 11, , 3
2024/6/21, 26, 7, , 2
2024/6/22, 17, 6, , 1
2024/6/23, 18, 13, , 3
2024/6/24, 37, 12, , 6
2024/6/25, 33, 12, , 6
2024/6/26, 31, 17, , 4
2024/6/27, 46, 15, , 3
2024/6/28, 46, 9, , 3
2024/6/29, 25, 7, , 2
2024/6/30, 21, 8, , 3
2024/1/1, 8, 3, , 1
